epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.22674,0.91992,2.48168,0.94541,1,0.1512,0.58257,0.44751,0.95199,2.57701,0.85841,0.00038,0.00038,0.00038
2,14.0222,0.98025,1.52171,0.94592,0.78909,0.37975,0.56361,0.4211,1.06904,1.80815,0.90353,0.000764556,0.000764556,0.000764556
3,21.1303,1.16526,1.26087,1.0477,0.96513,0.64557,0.7823,0.55887,0.96226,1.77431,0.89305,0.00113327,0.00113327,0.00113327
4,28.1361,1.02722,1.05621,0.98343,0.9043,0.71775,0.86088,0.60981,0.92998,1.84869,0.88162,0.00148615,0.00148615,0.00148615
5,34.855,1.06826,1.07672,1.06433,0.89656,0.86076,0.93423,0.5966,1.06962,1.51254,1.0244,0.00182318,0.00182318,0.00182318
6,41.6714,1.0963,1.11005,1.10587,0.84938,0.71388,0.82111,0.55411,1.01548,1.69766,0.98911,0.001802,0.001802,0.001802
7,48.4731,1.2437,1.18051,1.09761,0.59087,0.75949,0.62647,0.42244,1.07265,1.60845,1.02761,0.0017624,0.0017624,0.0017624
8,55.5295,1.15425,1.05977,1.05358,0.52284,0.80448,0.60405,0.43593,0.94465,2.02184,1.02739,0.0017228,0.0017228,0.0017228
9,62.5176,1.10332,1.01079,1.07423,0.92356,0.91771,0.96104,0.68417,0.99564,1.26191,1.0373,0.0016832,0.0016832,0.0016832
10,69.4829,1.02894,0.92337,0.98663,0.98475,0.98734,0.97795,0.73656,0.87574,0.99991,0.98149,0.0016436,0.0016436,0.0016436
11,76.4008,0.98446,0.87959,1.00183,0.99502,1,0.995,0.72201,0.86538,0.94588,0.95984,0.001604,0.001604,0.001604
12,83.5465,1.01125,0.89674,1.02583,0.98732,0.98563,0.99337,0.73312,0.879,0.94165,0.96147,0.0015644,0.0015644,0.0015644
13,90.3598,1.06871,0.90892,0.99744,0.98072,0.93671,0.99021,0.75029,0.88192,0.94094,0.9678,0.0015248,0.0015248,0.0015248
14,97.1995,0.93526,0.85357,1.02111,0.97428,0.95914,0.97559,0.74146,0.88437,0.84456,0.9759,0.0014852,0.0014852,0.0014852
